,month,day,temp_dailyMin,temp_minGround,temp_dailyMean,temp_dailyMax,temp_7h,temp_14h,temp_19h,hum_dailyMean,hum_7h,hum_14h,hum_19h,sun_hours,skyCover_7h,skyCover_14h,skyCover_19h,wind_degrees,wind_mSec,precip,year
0,1,1,-4.2,-4.3,-0.3,3.6,-3.2,2.5,3.5,88,85,93,85,0.0,10,10,10,274,13.1,0.1,2015
1,1,10,8.5,6.7,13.1,17.7,10.6,17.6,16.2,66,96,50,51,4.8,10,6,9,273,26.6,5.3,2015
2,1,11,3.9,5.0,10.1,16.3,6.2,4.9,4.2,71,89,65,58,0.0,10,10,4,292,18.8,6.2,2015
3,1,12,3.0,2.0,5.3,7.5,4.4,7.2,6.5,61,74,56,54,1.8,9,9,9,252,20.2,0.0,2015
4,1,13,1.5,0.4,6.4,11.2,40.0,11.0,2.5,60,54,40,85,7.0,9,4,2,266,11.1,-0.1,2015
5,1,14,-0.2,-2.4,3.6,7.3,0.2,,5.1,87,97,76,88,1.6,2,7,10,270,17.7,1.2,2015
6,1,15,0.1,-2.7,3.3,6.5,0.7,6.1,4.0,80,88,63,88,6.7,4,8,5,258,17.4,-0.1,2015
7,1,16,2.3,1.9,3.8,5.2,3.3,4.8,40.0,92,96,85,94,1.0,10,9,6,132,8.1,-0.1,2015
8,1,17,1.4,-0.5,4.3,7.1,3.3,7.0,4.7,88,97,73,95,0.0,9,10,10,277,15.0,0.6,2015
9,1,18,3.4,2.6,4.7,6.0,3.8,5.2,3.7,82,86,75,85,1.4,9,6,9,332,7.3,0.5,2015
10,1,19,2.1,2.0,3.0,3.9,2.2,3.8,3.2,88,92,84,89,0.0,10,9,10,28,3.6,-0.1,2015
11,1,2,0.2,-1.5,4.7,9.2,1.3,9.0,5.1,77,95,48,89,3.2,6,9,10,280,19.3,4.1,2015
12,1,20,1.8,1.7,3.1,4.4,2.6,40.0,3.3,88,97,85,81,0.0,10,10,9,278,8.4,-0.1,2015
13,1,21,0.0,-2.4,2.4,4.8,2.1,3.7,4.7,80,73,78,88,0.0,9,10,10,147,10.8,-0.1,2015
14,1,22,4.3,3.4,5.6,6.9,,6.6,6.6,87,94,85,83,0.0,10,10,10,151,11.1,0.0,2015
15,1,23,3.8,4.0,5.2,6.6,4.3,4.7,,88,91,86,88,0.0,10,10,10,286,12.7,0.0,2015
16,1,24,2.0,2.4,3.2,4.4,2.6,40.0,2.5,80,83,73,83,0.0,10,10,10,291,17.5,8.5,2015
17,1,25,-0.3,-0.8,1.2,2.6,-0.1,1.8,,86,94,93,71,0.0,10,10,7,290,18.2,8.5,2015
18,1,26,0.2,-1.4,1.9,3.5,0.4,2.4,0.6,74,76,66,81,4.0,9,8,1,313,9.4,1.1,2015
19,1,27,-2.5,-5.2,0.6,3.6,-0.2,3.5,2.8,85,99,82,74,0.8,10,8,7,287,12.4,2.1,2015
20,1,28,0.4,-1.4,2.9,5.3,0.7,5.1,0.7,78,87,62,84,6.1,1,3,3,270,12.0,0.6,2015
21,1,29,-0.3,-2.4,2.2,4.7,0.4,,1.5,81,97,55,92,0.5,10,10,8,123,11.2,0.6,2015
22,1,3,3.1,2.1,4.7,6.3,4.5,,3.1,68,66,53,86,3.4,6,10,10,298,16.7,13.8,2015
23,1,30,-0.1,-0.3,1.5,3.1,2.8,,,88,92,97,76,0.0,9,10,9,283,16.8,7.2,2015
24,1,31,-1.5,-3.9,2.0,5.5,,4.4,0.5,71,80,55,79,5.2,9,9,2,267,12.9,0.0,2015
25,1,4,0.4,0.0,2.6,4.7,2.5,4.5,2.9,77,90,60,81,0.4,7,8,9,290,20.3,13.6,2015
26,1,5,1.0,0.6,2.1,3.2,2.2,40.0,1.2,88,70,95,98,0.0,8,10,10,282,16.5,13.0,2015
27,1,6,-1.8,0.1,0.8,3.4,1.3,2.9,-1.7,76,85,62,81,7.8,4,2,0,306,13.9,3.8,2015
28,1,7,-3.9,-5.4,-2.5,-1.1,-2.9,-1.4,,80,69,74,97,0.2,9,10,10,170,9.1,1.5,2015
29,1,8,-3.9,-4.1,-2.4,-0.9,-3.5,-1.6,-1.0,92,94,90,91,0.0,10,10,10,188,6.5,0.1,2015
30,1,9,-1.0,-1.2,5.2,11.3,4.4,9.1,9.0,69,71,61,74,1.3,6,10,8,273,26.2,5.3,2015
