,month,day,temp_dailyMin,temp_minGround,temp_dailyMean,temp_dailyMax,temp_7h,temp_14h,temp_19h,hum_dailyMean,hum_7h,hum_14h,hum_19h,sun_hours,skyCover_7h,skyCover_14h,skyCover_19h,wind_degrees,wind_mSec,precip,year
0,1,1,0.8,-1.2,2.2,3.6,2.2,3.1,40.0,98,99,97,99,0.0,10.0,10.0,10.0,225.0,4.6,2.2,2012
1,1,2,0.4,0.4,2.1,3.7,0.5,2.6,3.3,95,100,92,93,0.0,10.0,10.0,9.0,281.0,15.2,2.9,2012
2,1,3,3.3,2.7,6.6,9.8,6.6,8.8,4.7,78,88,56,91,3.8,9.0,4.0,0.0,297.0,14.3,2.9,2012
3,1,4,3.6,1.0,7.2,10.7,4.8,8.0,5.3,76,83,69,75,0.0,10.0,10.0,2.0,294.0,17.4,0.0,2012
4,1,5,4.3,2.3,6.7,9.1,5.5,8.0,6.3,67,46,71,84,0.0,10.0,10.0,10.0,272.0,21.8,1.2,2012
5,1,6,3.5,3.0,5.2,6.8,4.3,6.2,3.9,60,70,56,55,2.9,7.0,6.0,3.0,296.0,22.4,0.1,2012
6,1,7,2.8,2.2,4.3,5.7,40.0,4.9,2.8,79,72,68,96,1.0,9.0,10.0,10.0,283.0,17.0,6.8,2012
7,1,8,2.4,1.7,3.9,5.3,4.6,4.2,3.9,88,81,96,88,0.7,9.0,10.0,8.0,306.0,14.5,8.6,2012
8,1,9,3.2,2.1,4.6,6.0,4.7,,4.3,83,84,88,76,1.6,10.0,10.0,8.0,313.0,17.4,5.5,2012
9,1,10,2.9,2.2,5.2,7.5,5.8,6.4,6.2,71,88,64,61,2.1,8.0,9.0,10.0,327.0,15.4,5.1,2012
10,1,11,4.2,2.7,6.7,9.1,6.2,8.0,7.6,66,71,63,63,1.6,9.0,9.0,9.0,287.0,14.0,0.0,2012
11,1,12,5.3,5.2,7.5,9.6,6.7,9.1,7.2,59,65,51,60,5.8,9.0,6.0,4.0,263.0,20.8,0.7,2012
12,1,13,0.8,2.7,4.5,8.1,4.8,1.4,2.4,81,68,97,77,0.7,8.0,10.0,6.0,255.0,19.1,3.7,2012
13,1,14,1.7,0.4,3.2,4.6,2.5,3.6,2.5,63,71,59,58,3.4,5.0,6.0,9.0,329.0,18.6,0.0,2012
14,1,15,0.0,-0.2,1.3,2.5,0.4,1.6,0.1,62,70,51,65,5.4,8.0,7.0,9.0,328.0,15.7,0.0,2012
15,1,16,-1.7,-1.9,0.2,2.0,-1.6,1.5,-0.6,58,62,54,59,1.7,9.0,4.0,9.0,312.0,13.2,2.5,2012
16,1,17,-1.8,-2.3,-0.6,0.6,-0.9,-0.2,0.5,96,100,96,91,0.0,10.0,10.0,10.0,275.0,15.9,2.5,2012
17,1,18,0.5,-0.7,3.2,5.8,1.0,40.0,3.0,55,74,47,44,5.4,10.0,8.0,1.0,270.0,12.1,3.0,2012
18,1,19,-0.8,-3.7,3.8,8.3,3.5,5.3,8.3,93,93,95,92,0.0,10.0,10.0,10.0,271.0,22.4,20.4,2012
19,1,20,2.2,2.5,6.1,9.9,3.6,,2.3,85,96,78,81,1.6,10.0,8.0,0.0,297.0,20.0,6.0,2012
20,1,21,0.5,-1.0,2.5,4.5,1.5,4.4,0.5,77,71,59,100,4.5,1.0,10.0,10.0,266.0,17.7,17.8,2012
21,1,22,0.5,0.0,4.5,8.4,4.2,6.7,6.1,74,85,63,75,0.6,7.0,8.0,8.0,266.0,18.4,11.8,2012
22,1,23,5.1,4.6,6.9,8.7,6.3,7.2,5.2,68,62,64,78,4.9,1.0,6.0,9.0,277.0,22.6,9.8,2012
23,1,24,0.4,-1.0,3.2,5.9,0.9,5.5,40.0,85,100,72,83,3.6,5.0,7.0,8.0,297.0,12.8,9.8,2012
24,1,25,-0.9,-2.3,1.1,3.1,-0.5,2.3,0.6,68,73,64,66,7.6,1.0,3.0,7.0,332.0,9.9,0.0,2012
25,1,26,-1.9,-3.0,-0.3,1.3,-1.5,,-0.3,67,76,61,65,4.5,3.0,8.0,10.0,347.0,10.6,0.0,2012
26,1,27,-2.6,-2.4,-1.4,-0.1,-2.3,-0.4,-2.0,77,78,70,82,3.2,10.0,3.0,1.0,81.0,6.1,0.0,2012
27,1,28,-5.1,-7.4,-1.3,2.6,-4.7,2.2,-1.2,79,92,62,83,8.3,2.0,7.0,5.0,132.0,11.1,0.0,2012
28,1,29,-3.6,-5.4,-1.6,0.5,-2.8,0.4,-2.0,84,99,70,82,0.3,9.0,9.0,5.0,146.0,10.9,0.0,2012
29,1,30,-6.4,-8.3,-2.7,1.1,-6.3,,-1.8,65,99,41,54,8.5,4.0,3.0,0.0,133.0,8.7,0.0,2012
30,1,31,-7.1,-7.9,-4.4,-1.6,,-1.8,-4.8,71,87,56,71,7.4,0.0,6.0,2.0,130.0,11.7,0.0,2012
31,2,1,-10.6,-11.6,-7.1,-3.6,-10.1,-4.1,-9.0,69,87,58,63,7.6,0.0,7.0,0.0,67.0,9.0,0.0,2012
32,2,2,-13.2,-14.1,-9.9,-6.6,-13.1,-6.9,-10.3,57,71,46,55,7.6,5.0,6.0,3.0,39.0,7.8,0.0,2012
33,2,3,-15.0,-15.4,-11.5,-7.9,,-40.0,-9.5,61,80,56,48,7.9,8.0,7.0,8.0,8.0,10.6,0.0,2012
34,2,4,-11.6,-11.9,-9.8,-8.0,-11.5,-8.3,-8.5,44,46,43,43,0.0,8.0,10.0,8.0,357.0,14.8,0.0,2012
35,2,5,-10.2,-10.2,-8.5,-6.7,-10.1,-6.9,-10.2,53,62,43,53,7.3,10.0,7.0,1.0,330.0,13.7,0.0,2012
36,2,6,-13.0,-13.5,-10.2,-7.4,-12.7,-8.0,-9.1,66,66,54,79,3.4,9.0,10.0,10.0,301.0,12.3,2.9,2012
37,2,7,-11.1,-11.1,-9.7,-8.3,-10.9,-8.9,-8.3,86,90,86,82,0.0,10.0,10.0,10.0,314.0,12.2,2.9,2012
38,2,8,-11.0,-13.6,-7.9,-4.8,-10.8,-5.3,,73,85,63,72,8.6,0.0,3.0,7.0,320.0,9.1,0.0,2012
39,2,9,-10.4,-14.1,-8.0,-5.5,-8.4,-40.0,-6.8,86,79,85,94,0.3,8.0,10.0,10.0,307.0,9.2,0.1,2012
40,2,10,-11.3,-12.7,-9.1,-6.8,-11.1,-7.2,-9.3,74,82,64,75,7.8,9.0,7.0,3.0,331.0,9.1,0.0,2012
41,2,11,-14.7,-17.8,-10.9,-7.0,-13.5,-8.0,,70,85,62,62,6.3,1.0,7.0,10.0,329.0,7.6,0.0,2012
42,2,12,-13.0,-15.2,-9.4,-5.7,-12.0,-5.9,-8.0,61,74,50,60,9.2,2.0,0.0,1.0,339.0,8.0,0.0,2012
43,2,13,-9.7,-12.2,-6.1,-2.4,-8.9,-4.0,-4.9,66,68,56,74,5.2,3.0,9.0,9.0,280.0,15.4,0.0,2012
44,2,14,-5.1,-5.5,-2.5,0.1,-4.5,-0.5,-2.5,75,82,64,80,3.3,10.0,5.0,9.0,275.0,11.6,0.0,2012
45,2,15,-2.6,-4.0,1.5,5.5,2.2,4.6,3.9,68,80,68,55,1.3,10.0,7.0,7.0,272.0,27.7,0.5,2012
46,2,16,0.5,0.1,2.2,3.9,0.6,2.5,1.2,64,68,62,62,0.8,9.0,9.0,5.0,301.0,20.2,0.9,2012
47,2,17,-1.5,-3.1,1.7,4.8,1.3,4.6,3.8,88,97,79,87,0.8,10.0,9.0,9.0,280.0,19.0,1.4,2012
48,2,18,3.5,2.4,6.1,8.6,3.5,8.4,5.1,73,86,60,73,2.7,9.0,6.0,8.0,295.0,15.5,0.3,2012
49,2,19,-0.7,-2.8,2.9,6.5,-0.7,,4.7,95,99,92,94,0.4,6.0,10.0,10.0,279.0,13.3,3.3,2012
50,2,20,1.6,0.6,3.6,5.6,2.6,4.9,1.6,64,74,51,66,3.7,9.0,7.0,3.0,301.0,9.9,1.5,2012
51,2,21,-4.7,-6.9,0.5,5.7,-4.6,5.3,0.3,74,94,55,72,10.1,2.0,2.0,1.0,284.0,9.1,0.0,2012
52,2,22,-0.1,-3.0,4.6,9.3,40.0,8.7,3.7,72,65,63,88,6.3,10.0,0.0,1.0,303.0,9.0,0.0,2012
53,2,23,-1.8,-4.3,4.0,9.8,,9.2,6.3,73,100,37,83,0.9,4.0,10.0,9.0,265.0,22.6,0.1,2012
54,2,24,6.0,4.8,9.4,12.8,7.7,12.4,10.0,76,85,66,77,7.4,9.0,2.0,8.0,277.0,22.9,0.1,2012
