,month,day,temp_dailyMin,temp_minGround,temp_dailyMean,temp_dailyMax,temp_7h,temp_14h,temp_19h,hum_dailyMean,hum_7h,hum_14h,hum_19h,sun_hours,skyCover_7h,skyCover_14h,skyCover_19h,wind_degrees,wind_mSec,precip,year
0,1,1,3.3,2.9,5.0,6.7,4.1,6.3,3.9,85,95,66,95,3.7,10,4,10,133,9.5,0.0,2014
1,1,2,2.0,0.5,4.8,7.5,4.0,6.9,2.4,77,83,63,85,2.3,9,6,1,134,13.1,0.8,2014
2,1,3,-0.2,-1.9,2.3,4.8,0.6,3.8,1.2,95,100,87,98,6.5,0,9,8,114,5.8,0.8,2014
3,1,4,0.9,-1.9,3.1,5.3,1.8,3.4,5.3,98,98,98,98,0.0,8,10,10,159,9.4,0.0,2014
4,1,5,5.3,5.1,8.1,10.9,8.3,8.7,6.6,82,92,72,81,1.2,10,10,10,271,19.4,0.6,2014
5,1,6,3.6,1.2,7.0,10.3,4.7,9.9,3.9,80,88,59,93,7.8,2,2,1,303,9.5,0.6,2014
6,1,7,2.6,-0.6,4.1,5.6,3.9,,4.5,93,96,87,96,0.0,10,10,10,166,8.3,0.0,2014
7,1,8,3.2,3.1,4.1,4.9,3.4,4.9,3.2,95,97,89,98,0.0,10,10,10,133,8.1,0.0,2014
8,1,9,2.1,2.1,3.1,4.0,,3.4,4.0,97,98,97,97,0.0,10,10,10,198,7.0,0.1,2014
9,1,10,3.3,3.1,6.6,9.9,7.0,9.6,6.3,63,77,49,63,5.4,9,5,1,283,17.3,0.1,2014
10,1,11,-0.1,-2.8,3.9,7.9,0.4,,5.8,84,96,64,92,4.9,6,9,7,261,12.7,0.0,2014
11,1,12,1.4,3.3,5.1,8.8,5.1,6.8,1.4,64,60,53,78,7.0,1,8,0,303,16.1,0.0,2014
12,1,13,-3.3,-6.8,1.0,5.2,,4.9,0.8,84,99,63,89,8.2,0,5,1,131,4.5,0.0,2014
13,1,14,0.4,-2.3,3.4,6.4,1.6,4.0,5.8,90,98,91,80,0.0,10,10,9,283,9.2,0.1,2014
