,month,day,temp_dailyMin,temp_minGround,temp_dailyMean,temp_dailyMax,temp_7h,temp_14h,temp_19h,hum_dailyMean,hum_7h,hum_14h,hum_19h,sun_hours,skyCover_7h,skyCover_14h,skyCover_19h,wind_degrees,wind_mSec,precip,year
0,1,1,-6.2,-9.5,-3.7,-1.1,-6.0,-3.9,-4.0,93,94,91,95,5.9,0,0,10,141.0,3.1,0.3,2017
1,1,2,-7.2,-7.5,-1.0,5.3,-6.8,4.7,0.2,78,93,58,83,7.0,9,1,10,272.0,17.9,0.4,2017
2,1,3,-0.7,-3.3,1.1,2.8,-0.1,2.5,0.9,67,75,61,66,7.4,1,2,6,266.0,20.7,0.2,2017
3,1,4,0.9,-0.1,2.9,4.8,,,2.7,69,59,72,76,1.3,9,9,1,269.0,28.9,0.0,2017
4,1,5,-3.2,-0.8,-0.1,3.1,0.4,-1.2,-3.2,60,69,53,58,1.2,8,9,7,302.0,19.4,0.0,2017
5,1,6,-7.1,-6.8,-5.2,-3.2,-5.8,-4.8,-7.1,61,62,53,69,3.5,9,9,5,348.0,17.5,0.0,2017
6,1,7,-9.7,-10.3,-7.2,-4.6,-9.2,-4.7,-6.6,56,66,40,62,7.0,1,2,8,327.0,11.9,2.5,2017
7,1,8,-7.5,-7.5,-5.7,-3.8,-7.1,-4.7,-7.2,86,90,79,88,1.1,10,5,9,325.0,8.8,2.5,2017
8,1,9,-7.2,-11.1,-4.8,-2.4,-3.5,-2.7,-3.4,78,78,81,75,0.0,10,10,10,339.0,12.5,0.0,2017
9,1,10,-8.1,-6.8,-5.7,-3.2,-6.4,-6.5,-8.1,68,84,60,59,4.7,10,7,2,158.0,12.3,0.0,2017
10,1,11,-12.6,-16.0,-8.2,-3.7,-12.4,-4.0,,67,82,55,64,7.6,1,0,9,155.0,8.2,2.0,2017
11,1,12,-4.6,-5.9,1.4,7.4,,6.0,4.5,75,79,66,80,6.2,8,7,10,307.0,14.6,2.0,2017
12,1,13,0.4,-1.0,3.2,6.0,2.8,5.1,1.8,70,79,54,76,0.0,10,10,10,271.0,20.7,0.4,2017
13,1,14,-0.7,-1.4,1.1,2.8,0.0,40.0,2.0,73,66,85,69,0.1,7,10,4,264.0,19.9,1.7,2017
14,1,15,-0.2,-1.7,1.5,3.2,0.0,2.6,-0.1,69,73,61,72,4.6,1,5,3,272.0,13.9,0.8,2017
15,1,16,-3.7,-7.5,-1.9,0.0,-2.7,-0.3,-1.8,78,85,71,78,3.4,2,9,10,268.0,6.5,0.0,2017
16,1,17,-3.4,-4.5,-2.0,-0.6,-2.5,-0.8,-1.7,72,77,68,70,0.7,8,9,7,347.0,12.6,0.0,2017
17,1,18,-4.4,-4.1,-3.1,-1.7,-3.4,-1.8,-4.4,72,74,66,77,2.7,9,10,0,330.0,10.4,0.0,2017
18,1,19,-8.8,-11.2,-6.1,-3.4,-8.8,-3.8,-6.1,78,87,68,80,7.6,0,0,0,329.0,5.3,0.0,2017
19,1,20,-10.5,-12.4,-7.0,-3.4,-10.2,-3.6,-5.6,82,90,71,84,6.3,0,0,0,49.0,4.5,0.0,2017
20,1,21,-8.9,-11.2,-5.6,-2.2,-8.8,-3.2,-4.4,82,90,74,81,6.2,0,0,0,80.0,4.9,0.0,2017
21,1,22,-7.1,-10.0,-3.0,1.1,-6.9,1.0,-1.8,72,90,60,66,7.3,4,0,0,167.0,11.7,0.0,2017
22,1,23,-5.4,-5.7,-3.6,-1.7,-4.7,-4.7,-40.0,86,87,86,86,0.0,9,10,10,141.0,12.4,0.0,2017
23,1,24,-6.3,-6.0,-5.4,-4.5,-6.0,-5.0,-4.7,81,90,78,76,0.0,10,10,10,344.0,8.8,0.0,2017
24,1,25,-4.7,-4.6,-2.5,-0.2,-2.9,-0.5,-0.5,76,78,75,76,0.0,10,10,10,304.0,9.8,0.0,2017
25,1,26,-2.3,-2.6,-0.3,1.7,-2.0,1.5,-0.9,70,76,61,72,0.6,10,9,1,163.0,11.1,0.0,2017
26,1,27,-4.5,-5.7,-2.7,-0.8,-3.9,-2.6,-4.0,82,80,81,86,3.1,1,10,10,163.0,12.4,0.0,2017
27,1,28,-5.8,-5.2,-4.9,-4.0,-5.3,-5.0,-5.0,89,89,88,89,0.0,10,10,10,151.0,10.7,0.1,2017
28,1,29,-5.6,-5.3,-5.1,-4.6,-5.5,-4.8,-5.4,90,93,87,90,0.0,10,10,10,124.0,5.7,0.0,2017
29,1,30,-7.6,-6.4,-6.5,-5.3,-6.5,-5.9,-7.5,93,95,92,93,0.0,10,10,10,132.0,10.5,2.1,2017
30,1,31,-8.0,-7.7,-6.1,-4.2,-7.0,-5.2,-4.3,90,89,92,88,0.0,10,10,10,163.0,9.5,10.1,2017
31,2,1,-4.3,-4.5,-2.7,-1.0,-3.0,-1.1,-1.1,92,94,87,96,0.0,10,10,10,181.0,5.9,7.2,2017
32,2,2,-1.3,-1.2,-0.4,0.6,-1.1,0.5,-0.5,95,96,91,97,0.0,10,10,10,124.0,5.1,0.1,2017
33,2,3,-0.5,-0.3,0.7,1.9,0.0,1.8,1.0,97,98,92,100,0.0,10,10,10,300.0,5.2,0.0,2017
34,2,4,0.0,-0.9,2.9,5.7,0.3,5.6,2.5,89,94,78,94,2.2,9,2,10,335.0,7.6,0.0,2017
35,2,5,1.6,0.8,6.9,12.1,5.6,11.1,5.2,62,72,41,74,7.6,6,4,9,288.0,17.5,4.1,2017
36,2,6,2.1,-0.1,3.7,5.2,3.2,3.4,2.3,93,96,92,91,0.0,10,10,10,348.0,10.6,8.0,2017
37,2,7,0.3,0.0,2.1,3.9,,3.3,0.6,73,85,63,72,6.6,10,2,1,338.0,11.2,0.0,2017
38,2,8,-2.3,-3.9,-0.9,0.6,-1.5,-1.6,-2.3,75,80,71,73,0.0,10,10,10,20.0,9.1,0.0,2017
39,2,9,-3.6,-3.4,-1.7,0.3,-3.5,0.2,-0.6,79,84,74,80,0.4,10,9,10,115.0,5.8,0.0,2017
40,2,10,-0.7,-0.9,0.9,2.4,0.2,1.7,1.5,72,88,64,65,0.4,10,9,9,155.0,15.1,0.0,2017
